  36  X13012310 (                --*---   |                        ), 0.292,  0.333,  0.370,  0.395,  0.441
  37  X12013310 (                 -*--    |                        ), 0.340,  0.352,  0.371,  0.403,  0.439
  38  X13012410 (                  *--    |                        ), 0.333,  0.364,  0.371,  0.407,  0.423
  38  X13013610 (                 --*-    |                        ), 0.325,  0.355,  0.382,  0.404,  0.440
  39  X12012310 (                 --*-    |                        ), 0.286,  0.347,  0.384,  0.413,  0.423
  41  X13013510 (                 --*-    |                        ), 0.328,  0.356,  0.385,  0.405,  0.435
  41  X11012610 (                  -*     |                        ), 0.265,  0.372,  0.385,  0.402,  0.411
  41  X13012710 (                  -*     |                        ), 0.304,  0.366,  0.385,  0.402,  0.413
  41  X12013410 (                  -*--   |                        ), 0.324,  0.374,  0.386,  0.408,  0.454
  41  X12012610 (                  -*-    |                        ), 0.335,  0.377,  0.387,  0.400,  0.430
  43  X12013610 (                  -*-    |                        ), 0.347,  0.375,  0.388,  0.409,  0.421
  43  X13013310 (                  -*     |                        ), 0.306,  0.373,  0.389,  0.402,  0.412
  43  X12013710 (                  -*-    |                        ), 0.353,  0.377,  0.392,  0.397,  0.425
  43  X12013510 (                  -*-    |                        ), 0.369,  0.376,  0.393,  0.402,  0.421
  43  X11013511 (                   *--   |                        ), 0.360,  0.381,  0.394,  0.419,  0.455
  43  X11013610 (                  -*-    |                        ), 0.317,  0.372,  0.394,  0.419,  0.434
  44  X12012410 (                   *---  |                        ), 0.274,  0.382,  0.395,  0.423,  0.473
  44  X12012710 (                  -*     |                        ), 0.336,  0.375,  0.397,  0.400,  0.416
  44  X12012510 (                   *-    |                        ), 0.326,  0.388,  0.400,  0.409,  0.433
  44  X11012410 (                 ---*    |                        ), 0.303,  0.356,  0.403,  0.427,  0.437
  45  X11002311 (                   -*    |                        ), 0.376,  0.387,  0.404,  0.413,  0.437
  47  X11012310 (               -----*-   |                        ), 0.084,  0.306,  0.404,  0.415,  0.451
  48  X11013310 (                   -*    |                        ), 0.360,  0.390,  0.404,  0.417,  0.425
  48  X11012510 (                 ---*    |                        ), 0.264,  0.357,  0.406,  0.414,  0.427
  49  X11013510 (                   -*    |                        ), 0.295,  0.400,  0.413,  0.426,  0.434
  49  X11013410 (                    *    |                        ), 0.389,  0.403,  0.413,  0.430,  0.439
  49  X11002310 (                   -*    |                        ), 0.364,  0.400,  0.413,  0.430,  0.436
  49  X11002301 (                   -*-   |                        ), 0.351,  0.400,  0.414,  0.419,  0.444
