   1  X11002300 (*-                       |                        ), 0.000,  0.000,  0.000,  0.000,  0.041
   1  X11012301 (*------------            |                        ), 0.000,  0.000,  0.000,  0.094,  0.273
   1  X11012401 (*--------------          |                        ), 0.000,  0.000,  0.000,  0.060,  0.308
   1  X11012501 (*------------            |                        ), 0.000,  0.000,  0.000,  0.172,  0.276
   1  X11012600 (*---------               |                        ), 0.000,  0.000,  0.000,  0.000,  0.217
   1  X11012601 (*-----------             |                        ), 0.000,  0.000,  0.000,  0.070,  0.243
   1  X11012700 (*----------------        |                        ), 0.000,  0.000,  0.000,  0.017,  0.353
   1  X11012701 (*-------------           |                        ), 0.000,  0.000,  0.000,  0.169,  0.298
   1  X11013300 (*---                     |                        ), 0.000,  0.000,  0.000,  0.026,  0.082
   1  X11013301 (*------------            |                        ), 0.000,  0.000,  0.000,  0.137,  0.270
   1  X11013400 (*----------------        |                        ), 0.000,  0.000,  0.000,  0.071,  0.345
   1  X11013500 (*------                  |                        ), 0.000,  0.000,  0.000,  0.000,  0.159
   1  X11013501 (*--------------          |                        ), 0.000,  0.000,  0.000,  0.131,  0.319
   1  X11013600 (*----------              |                        ), 0.000,  0.000,  0.000,  0.000,  0.228
   1  X11013601 (*------------            |                        ), 0.000,  0.000,  0.000,  0.189,  0.276
   1  X11013700 (*-------------           |                        ), 0.000,  0.000,  0.000,  0.135,  0.295
   1  X11013701 (*---------------         |                        ), 0.000,  0.000,  0.000,  0.185,  0.327
   1  X11102300 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11102301 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11112300 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11112301 (*------------            |                        ), 0.000,  0.000,  0.000,  0.000,  0.263
   1  X11112400 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11112401 (*------------            |                        ), 0.000,  0.000,  0.000,  0.000,  0.262
   1  X11112500 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11112501 (*------------            |                        ), 0.000,  0.000,  0.000,  0.000,  0.262
   1  X11112600 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11112601 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11112611 (*------------            |                        ), 0.000,  0.000,  0.000,  0.262,  0.262
   1  X11112700 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11112701 (*-----                   |                        ), 0.000,  0.000,  0.000,  0.000,  0.138
   1  X11112710 (*---------------         |                        ), 0.000,  0.000,  0.000,  0.262,  0.332
   1  X11113300 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11113301 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11113311 (*------------            |                        ), 0.000,  0.000,  0.000,  0.262,  0.262
   1  X11113400 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11113401 (*-------------           |                        ), 0.000,  0.000,  0.000,  0.000,  0.291
   1  X11113500 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11113501 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
   1  X11113600 (*                        |                        ), 0.000,  0.000,  0.000,  0.000,  0.000
