   1  X11002301 (*-------------           |                        ), 0.000,  0.000,  0.000,  0.018,  0.290
   1  X11002311 (*---------------         |                        ), 0.000,  0.000,  0.020,  0.261,  0.320
   2  X13012310 (            *            |                        ), 0.243,  0.243,  0.243,  0.243,  0.243
   2  X13012410 (            *-----       |                        ), 0.243,  0.243,  0.243,  0.243,  0.378
   2  X13013610 (            *-----       |                        ), 0.243,  0.243,  0.243,  0.243,  0.364
   2  X12012310 (            *            |                        ), 0.243,  0.243,  0.243,  0.243,  0.243
   2  X13013510 (            *-----       |                        ), 0.243,  0.243,  0.243,  0.362,  0.379
   2  X13012710 (            *            |                        ), 0.243,  0.243,  0.243,  0.243,  0.243
   2  X12013410 (            *------      |                        ), 0.243,  0.243,  0.243,  0.369,  0.393
   2  X12012610 (            *----        |                        ), 0.243,  0.243,  0.243,  0.243,  0.356
   2  X13013310 (            *------      |                        ), 0.243,  0.243,  0.243,  0.344,  0.395
   2  X11013511 (            *---         |                        ), 0.224,  0.243,  0.243,  0.269,  0.323
   2  X12012410 (            *------      |                        ), 0.243,  0.243,  0.243,  0.243,  0.399
   2  X12012710 (            *---         |                        ), 0.243,  0.243,  0.243,  0.243,  0.335
   2  X12012510 (            *-----       |                        ), 0.243,  0.243,  0.243,  0.352,  0.374
   2  X11012410 (            *            |                        ), 0.243,  0.243,  0.243,  0.243,  0.243
   3  X12013310 (            *-------     |                        ), 0.243,  0.243,  0.243,  0.366,  0.407
   3  X11012510 (            *----        |                        ), 0.243,  0.243,  0.243,  0.299,  0.346
   4  X12013510 (            *------      |                        ), 0.243,  0.243,  0.245,  0.361,  0.392
   4  X11013610 (            -*---        |                        ), 0.243,  0.243,  0.280,  0.305,  0.358
   5  X12013610 (            --*---       |                        ), 0.243,  0.243,  0.289,  0.335,  0.372
   6  X11012610 (             ---*--      |                        ), 0.243,  0.277,  0.333,  0.368,  0.394
   7  X11013510 (                 -*      |                        ), 0.243,  0.357,  0.366,  0.377,  0.388
   7  X13002310 (                 -*      |                        ), 0.348,  0.358,  0.368,  0.371,  0.386
   8  X12013710 (            ------*      |                        ), 0.243,  0.244,  0.368,  0.377,  0.382
   9  X11013310 (                 -*      |                        ), 0.245,  0.354,  0.371,  0.382,  0.391
   9  X11002310 (                  *      |                        ), 0.367,  0.369,  0.373,  0.379,  0.386
   9  X11012310 (               ---*      |                        ), 0.243,  0.306,  0.375,  0.386,  0.398
   9  X11013410 (                --*-     |                        ), 0.243,  0.322,  0.377,  0.389,  0.401
