   1  X13012310 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X12013310 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.167
   1  X13012410 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X13013610 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X12012310 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X13013510 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X11012610 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X13012710 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X12013410 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X12012610 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X12013610 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X13013310 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.166
   1  X12013710 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X12013510 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.164
   1  X11013511 (        *                |                        ), 0.162,  0.163,  0.163,  0.163,  0.169
   1  X11013610 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X12012410 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X12012710 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X12012510 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X11012410 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.164
   1  X11012310 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X11013310 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.164
   1  X11012510 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.163
   1  X11013510 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.166
   1  X11013410 (        *                |                        ), 0.163,  0.163,  0.163,  0.163,  0.167
   2  X11002311 (        *                |                        ), 0.172,  0.175,  0.176,  0.180,  0.185
   2  X11002310 (        *                |                        ), 0.174,  0.175,  0.177,  0.178,  0.183
   3  X13002310 (        -*               |                        ), 0.175,  0.180,  0.182,  0.190,  0.202
   4  X11002301 (         *               |                        ), 0.170,  0.183,  0.189,  0.193,  0.206
