   1  X11002301 (-*----                   |                        ), 0.000,  0.019,  0.038,  0.085,  0.126
   1  X13002310 (         -*              |                        ), 0.189,  0.199,  0.203,  0.210,  0.219
   2  X11002311 (          *              |                        ), 0.188,  0.201,  0.206,  0.211,  0.214
   2  X13012310 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X12013310 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.210
   2  X13012410 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X13013610 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.214
   2  X12012310 (          *              |                        ), 0.196,  0.206,  0.206,  0.206,  0.206
   2  X13013510 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X11012610 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.211
   2  X13012710 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X12013410 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.216
   2  X12012610 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X12013610 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.212
   2  X13013310 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.208
   2  X12013710 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.208
   2  X12013510 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.212
   2  X11013511 (          *              |                        ), 0.204,  0.206,  0.206,  0.207,  0.213
   2  X11013610 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X12012410 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X12012710 (          *              |                        ), 0.201,  0.206,  0.206,  0.206,  0.206
   2  X12012510 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X11012410 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X11012310 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.206
   2  X11013310 (          *              |                        ), 0.202,  0.206,  0.206,  0.208,  0.212
   2  X11012510 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.218
   2  X11013510 (          *              |                        ), 0.205,  0.206,  0.206,  0.209,  0.214
   2  X11013410 (          *              |                        ), 0.206,  0.206,  0.206,  0.206,  0.212
   3  X11002310 (          *              |                        ), 0.202,  0.205,  0.208,  0.211,  0.223
