   1  X11002301 (*-                       |                        ), 0.000,  0.000,  0.000,  0.000,  0.059
   1  X11002311 (-*----                   |                        ), 0.000,  0.000,  0.035,  0.059,  0.127
   2  X11013511 (   --*--------           |                        ), 0.000,  0.063,  0.120,  0.193,  0.288
   3  X11012410 (      -*-                |                        ), 0.076,  0.135,  0.147,  0.158,  0.181
   4  X13012310 (       *-                |                        ), 0.059,  0.140,  0.152,  0.152,  0.184
   4  X12012310 (       *-------          |                        ), 0.147,  0.152,  0.152,  0.220,  0.309
   4  X13012710 (       *-----            |                        ), 0.152,  0.152,  0.152,  0.214,  0.273
   4  X12012610 (      -*---              |                        ), 0.119,  0.136,  0.152,  0.200,  0.234
   4  X12012410 (      -*---              |                        ), 0.089,  0.139,  0.152,  0.179,  0.224
   5  X13013310 (       -*-----           |                        ), 0.129,  0.152,  0.162,  0.211,  0.286
   6  X11012510 (       -*------          |                        ), 0.087,  0.145,  0.175,  0.263,  0.317
   6  X13012410 (       -*-----           |                        ), 0.152,  0.152,  0.176,  0.238,  0.294
   6  X12012710 (       --*--             |                        ), 0.142,  0.152,  0.189,  0.236,  0.254
   6  X12012510 (       --*----           |                        ), 0.111,  0.152,  0.190,  0.239,  0.286
   6  X11012310 (      ---*--             |                        ), 0.086,  0.130,  0.191,  0.239,  0.253
   6  X12013310 (       --*---            |                        ), 0.123,  0.155,  0.198,  0.227,  0.279
   7  X11012610 (       --*-----          |                        ), 0.149,  0.152,  0.199,  0.227,  0.309
   7  X12013710 (        --*---           |                        ), 0.152,  0.176,  0.202,  0.249,  0.286
   7  X13013510 (       ---*----          |                        ), 0.143,  0.152,  0.205,  0.233,  0.316
   8  X11013610 (        --*--            |                        ), 0.132,  0.178,  0.206,  0.237,  0.271
   8  X11013510 (         -*--            |                        ), 0.142,  0.181,  0.210,  0.250,  0.277
   8  X13013610 (         -*-             |                        ), 0.152,  0.183,  0.214,  0.236,  0.258
   8  X11002310 (         -*---           |                        ), 0.057,  0.188,  0.220,  0.260,  0.286
   8  X13002310 (          -*-            |                        ), 0.159,  0.215,  0.232,  0.247,  0.272
   8  X11013310 (       ----*---          |                        ), 0.124,  0.156,  0.233,  0.275,  0.319
   8  X12013510 (        ---*-            |                        ), 0.113,  0.161,  0.234,  0.251,  0.278
   8  X11013410 (         --*             |                        ), 0.152,  0.187,  0.237,  0.244,  0.253
   9  X12013410 (        ----*--          |                        ), 0.152,  0.160,  0.247,  0.283,  0.306
   9  X12013610 (          --*-           |                        ), 0.148,  0.211,  0.256,  0.267,  0.292
