   1  X11002311 (*------------            |                        ), 0.000,  0.000,  0.000,  0.268,  0.278
   1  X11002301 (---*----------           |                        ), 0.000,  0.000,  0.080,  0.250,  0.282
   2  X13012310 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.238
   2  X12013310 (           *             |                        ), 0.238,  0.238,  0.238,  0.250,  0.256
   2  X13012410 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.242
   2  X13013610 (           *-            |                        ), 0.238,  0.238,  0.238,  0.238,  0.268
   2  X12012310 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.238
   2  X13013510 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.243
   2  X11012610 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.251
   2  X13012710 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.238
   2  X12013410 (           *-            |                        ), 0.238,  0.238,  0.238,  0.250,  0.268
   2  X12012610 (           *-            |                        ), 0.238,  0.238,  0.238,  0.238,  0.269
   2  X12013610 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.240
   2  X13013310 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.253
   2  X12013710 (           *-            |                        ), 0.238,  0.238,  0.238,  0.247,  0.261
   2  X12013510 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.238
   2  X12012410 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.246
   2  X12012710 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.238
   2  X12012510 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.238
   2  X11012410 (           *-            |                        ), 0.238,  0.238,  0.238,  0.243,  0.278
   2  X11012310 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.250
   2  X11013510 (           *             |                        ), 0.238,  0.238,  0.238,  0.238,  0.240
   2  X11013511 (           *-            |                        ), 0.233,  0.237,  0.238,  0.240,  0.261
   3  X11013610 (           -*            |                        ), 0.238,  0.238,  0.242,  0.249,  0.265
   4  X11013410 (           -*-           |                        ), 0.238,  0.238,  0.246,  0.261,  0.284
   4  X11012510 (           -*            |                        ), 0.238,  0.238,  0.247,  0.262,  0.269
   5  X11013310 (           -*-           |                        ), 0.238,  0.238,  0.256,  0.270,  0.283
   6  X11002310 (             -*          |                        ), 0.271,  0.275,  0.288,  0.300,  0.314
   7  X13002310 (              -*--       |                        ), 0.281,  0.297,  0.319,  0.331,  0.360
