   1  X11002301 (*---------------         |                        ), 0.000,  0.000,  0.000,  0.160,  0.338
   1  X11002311 (-------------*--------   |                        ), 0.000,  0.000,  0.275,  0.358,  0.448
   2  X11012410 (               *         |                        ), 0.194,  0.306,  0.312,  0.321,  0.323
   3  X13012310 (                *        |                        ), 0.315,  0.321,  0.321,  0.321,  0.333
   3  X12013310 (                *-       |                        ), 0.321,  0.321,  0.321,  0.327,  0.374
   3  X13012410 (                *        |                        ), 0.321,  0.321,  0.321,  0.321,  0.346
   3  X13013610 (                *        |                        ), 0.303,  0.321,  0.321,  0.321,  0.321
   3  X12012310 (                *        |                        ), 0.317,  0.321,  0.321,  0.321,  0.330
   3  X13013510 (                *        |                        ), 0.321,  0.321,  0.321,  0.321,  0.356
   3  X11012610 (                *--      |                        ), 0.317,  0.321,  0.321,  0.350,  0.389
   3  X13012710 (                *---     |                        ), 0.321,  0.321,  0.321,  0.321,  0.405
   3  X12013410 (               -*        |                        ), 0.295,  0.320,  0.321,  0.323,  0.333
   3  X12012610 (                *        |                        ), 0.321,  0.321,  0.321,  0.321,  0.321
   3  X12013610 (                *--      |                        ), 0.321,  0.321,  0.321,  0.340,  0.394
   3  X13013310 (                *        |                        ), 0.315,  0.321,  0.321,  0.321,  0.337
   3  X12013710 (                *        |                        ), 0.321,  0.321,  0.321,  0.321,  0.354
   3  X12013510 (                *-       |                        ), 0.308,  0.321,  0.321,  0.321,  0.371
   3  X11013511 (        --------*-       |                        ), 0.000,  0.163,  0.321,  0.340,  0.364
   3  X11013610 (               -*        |                        ), 0.240,  0.309,  0.321,  0.324,  0.350
   3  X12012410 (                *-       |                        ), 0.321,  0.321,  0.321,  0.340,  0.368
   3  X12012710 (                *        |                        ), 0.308,  0.321,  0.321,  0.321,  0.348
   3  X12012510 (               -*        |                        ), 0.255,  0.314,  0.321,  0.321,  0.321
   3  X11013310 (               -*        |                        ), 0.308,  0.316,  0.321,  0.321,  0.337
   3  X11012510 (                *---     |                        ), 0.288,  0.321,  0.321,  0.329,  0.406
   3  X11013410 (                *-       |                        ), 0.308,  0.321,  0.321,  0.333,  0.368
   4  X11002310 (               -*        |                        ), 0.311,  0.318,  0.329,  0.346,  0.359
   5  X11013510 (                *--      |                        ), 0.321,  0.321,  0.333,  0.359,  0.386
   5  X11012310 (                *-       |                        ), 0.154,  0.321,  0.337,  0.346,  0.379
   6  X13002310 (                  *---   |                        ), 0.354,  0.373,  0.378,  0.394,  0.444
