   1  X11002301 (*--                      |                        ), 0.000,  0.000,  0.000,  0.000,  0.061
   1  X11013511 (    -*-                  |                        ), 0.034,  0.097,  0.114,  0.125,  0.156
   2  X11013310 (     -*--                |                        ), 0.109,  0.117,  0.123,  0.144,  0.188
   2  X13012310 (      *-                 |                        ), 0.123,  0.123,  0.123,  0.123,  0.178
   2  X13012410 (      *                  |                        ), 0.123,  0.123,  0.123,  0.123,  0.124
   2  X13013610 (      *--                |                        ), 0.121,  0.123,  0.123,  0.157,  0.185
   2  X12012310 (      *                  |                        ), 0.111,  0.123,  0.123,  0.123,  0.141
   2  X13013510 (     -*                  |                        ), 0.089,  0.100,  0.123,  0.123,  0.145
   2  X13012710 (      *                  |                        ), 0.123,  0.123,  0.123,  0.124,  0.144
   2  X12012610 (      *-                 |                        ), 0.122,  0.123,  0.123,  0.126,  0.164
   2  X12013610 (      *--                |                        ), 0.117,  0.123,  0.123,  0.153,  0.180
   2  X12012410 (      *                  |                        ), 0.119,  0.123,  0.123,  0.123,  0.138
   2  X12012710 (      *-                 |                        ), 0.123,  0.123,  0.123,  0.124,  0.164
   2  X12012510 (      *-                 |                        ), 0.107,  0.123,  0.123,  0.128,  0.180
   2  X11012310 (      *-                 |                        ), 0.089,  0.123,  0.123,  0.135,  0.178
   2  X11012510 (     -*--                |                        ), 0.086,  0.114,  0.123,  0.160,  0.181
   3  X12013410 (      *--                |                        ), 0.123,  0.123,  0.124,  0.151,  0.197
   4  X12013510 (      *-                 |                        ), 0.119,  0.123,  0.126,  0.145,  0.175
   4  X11013510 (     -*-                 |                        ), 0.111,  0.120,  0.126,  0.147,  0.172
   5  X11013610 (     -*-                 |                        ), 0.103,  0.116,  0.127,  0.147,  0.173
   5  X11012610 (      *-                 |                        ), 0.123,  0.123,  0.129,  0.137,  0.164
   6  X13013310 (      *---               |                        ), 0.123,  0.123,  0.131,  0.159,  0.207
   7  X12013310 (      *---               |                        ), 0.122,  0.123,  0.140,  0.173,  0.212
   7  X11013410 (      -*--               |                        ), 0.112,  0.125,  0.141,  0.180,  0.217
   8  X12013710 (      -*                 |                        ), 0.115,  0.123,  0.141,  0.147,  0.164
   9  X11012410 (      -*---              |                        ), 0.123,  0.125,  0.151,  0.170,  0.227
  10  X11002311 (       --*--             |                        ), 0.000,  0.144,  0.185,  0.221,  0.257
  11  X11002310 (        -*               |                        ), 0.125,  0.166,  0.194,  0.202,  0.218
  12  X13002310 (        -*-              |                        ), 0.150,  0.179,  0.194,  0.218,  0.237
