   1  X11002301 (*-                       |                        ), 0.000,  0.000,  0.000,  0.019,  0.048
   1  X11002311 ( *-------------          |                        ), 0.014,  0.024,  0.029,  0.081,  0.304
   2  X13002310 (       -*--              |                        ), 0.124,  0.154,  0.179,  0.214,  0.232
   3  X11012510 (         -*---------     |                        ), 0.135,  0.190,  0.207,  0.292,  0.407
   3  X11013510 (         -*---           |                        ), 0.128,  0.186,  0.207,  0.238,  0.280
   3  X13012310 (----------*-----         |                        ), 0.000,  0.017,  0.217,  0.263,  0.335
   3  X11002310 (          *--            |                        ), 0.163,  0.204,  0.218,  0.238,  0.264
   3  X11013511 (          -*----         |                        ), 0.077,  0.202,  0.234,  0.276,  0.321
   3  X12012610 (       ----*----         |                        ), 0.036,  0.157,  0.234,  0.246,  0.331
   4  X12013510 (           -*--          |                        ), 0.190,  0.225,  0.243,  0.274,  0.310
   4  X11013310 (          --*------      |                        ), 0.152,  0.214,  0.257,  0.280,  0.381
   4  X11012410 (        ----*----        |                        ), 0.088,  0.168,  0.260,  0.308,  0.347
   4  X13012710 (            -*----       |                        ), 0.000,  0.258,  0.264,  0.310,  0.366
   5  X11013610 (           --*---        |                        ), 0.188,  0.235,  0.267,  0.310,  0.345
   5  X12012710 (             *------     |                        ), 0.141,  0.262,  0.273,  0.304,  0.411
   5  X11013410 (           --*--         |                        ), 0.194,  0.224,  0.278,  0.298,  0.321
   5  X12013610 (            --*---       |                        ), 0.192,  0.260,  0.282,  0.321,  0.366
   5  X12012410 (            --*---       |                        ), 0.141,  0.249,  0.282,  0.304,  0.370
   5  X13013610 (            --*----      |                        ), 0.154,  0.254,  0.283,  0.313,  0.388
   5  X13013310 (             -*---       |                        ), 0.229,  0.270,  0.286,  0.320,  0.374
   5  X13013510 (            --*------    |                        ), 0.198,  0.254,  0.290,  0.333,  0.425
   5  X13012410 (            --*----      |                        ), 0.000,  0.257,  0.290,  0.332,  0.396
   5  X12013410 (             -*--        |                        ), 0.219,  0.261,  0.291,  0.300,  0.342
   5  X11012610 (         -----*-----     |                        ), 0.119,  0.190,  0.293,  0.360,  0.411
   5  X12012310 (            --*----      |                        ), 0.017,  0.245,  0.299,  0.350,  0.398
   6  X12013310 (            ---*-----    |                        ), 0.140,  0.252,  0.301,  0.357,  0.424
   6  X11012310 (              -*------   |                        ), 0.194,  0.295,  0.313,  0.343,  0.448
   6  X12013710 (           ----*-        |                        ), 0.208,  0.240,  0.316,  0.340,  0.358
   6  X12012510 (            ---*---      |                        ), 0.091,  0.251,  0.316,  0.359,  0.395
